Country,TotalCases,TotalDeaths,TotalTests,TotCases_1M_Pop,Deaths_1M_pop,Tests_1M_Pop,CFR,ConfirmationRate
USA,831086.0,46249.0,4275802.0,2511.0,140.0,12918.0,0.05564887388308791,0.19436961767640315
Spain,208389.0,21717.0,930230.0,4457.0,464.0,19896.0,0.10421375408490852,0.22401879105167538
Italy,187327.0,25085.0,1513251.0,3098.0,415.0,25028.0,0.1339102211640607,0.12379109612351157
France,159877.0,21340.0,463662.0,2449.0,327.0,7103.0,0.13347761091338967,0.34481367892991016
Germany,149771.0,5211.0,1728357.0,1788.0,62.0,20629.0,0.03479311749270553,0.08665512969832043
UK,133495.0,18100.0,559935.0,1966.0,267.0,8248.0,0.13558560245702087,0.23841160134658487
Turkey,98674.0,2376.0,750944.0,1170.0,28.0,8904.0,0.02407929140401727,0.13139994460305962
Iran,85996.0,5391.0,377396.0,1024.0,64.0,4493.0,0.06268896227731523,0.22786675004504553
Russia,57999.0,513.0,2250000.0,397.0,4.0,15418.0,0.00884498008586355,0.025777333333333333
Brazil,45757.0,2906.0,291922.0,215.0,14.0,1373.0,0.0635094083965295,0.15674392474702145
Belgium,41889.0,6262.0,171400.0,3614.0,540.0,14789.0,0.14949031965432452,0.24439323220536757
Canada,39805.0,1966.0,569878.0,1055.0,52.0,15099.0,0.04939078005275719,0.06984828331678009
Netherlands,34842.0,4054.0,171415.0,2033.0,237.0,10004.0,0.11635382584237415,0.20326109150307733
Switzerland,28268.0,1509.0,227554.0,3266.0,174.0,26293.0,0.053381915947360976,0.1242254585724707
Portugal,21982.0,785.0,284741.0,2156.0,77.0,27925.0,0.035711036302429264,0.07719998173778977
India,20471.0,652.0,462621.0,15.0,0.5,335.0,0.03184993405305066,0.04425004485313032
Peru,19250.0,530.0,170400.0,584.0,16.0,5168.0,0.027532467532467533,0.11296948356807512
Ireland,16671.0,769.0,111584.0,3376.0,156.0,22598.0,0.046128006718253255,0.14940314023515916
Sweden,16004.0,1937.0,94500.0,1585.0,192.0,9357.0,0.12103224193951512,0.16935449735449734
Austria,14925.0,510.0,201794.0,1657.0,57.0,22406.0,0.034170854271356785,0.07396156476406633
Israel,14498.0,189.0,240303.0,1675.0,22.0,27763.0,0.01303628086632639,0.06033216397631324
Saudi Arabia,12772.0,114.0,200000.0,367.0,3.0,5745.0,0.008925775133103664,0.06386
Japan,11512.0,281.0,124550.0,91.0,2.0,985.0,0.024409312022237666,0.09242874347651546
