USAState,TotalCases,TotalDeaths,TotalTests,Tot_Cases_1M_Pop,Deaths_1M_Pop,Tests_1M_Pop,CFR,ConfirmationRate
USA Total,915538.0,51692.0,4975291.0,2766.0,156.0,15031.0,0.056460791359834325,0.18401697508748735
New York,276711.0,21283.0,730656.0,14105.0,1085.0,37243.0,0.0769141812215633,0.37871583891735644
New Jersey,102196.0,5617.0,205921.0,11506.0,632.0,23184.0,0.054963012250968724,0.4962874111916706
Massachusetts,46023.0,2360.0,195076.0,6738.0,346.0,28561.0,0.05127870847185103,0.2359234349689352
California,40812.0,1594.0,494173.0,1042.0,41.0,12623.0,0.039057140056846025,0.08258646263555476
Pennsylvania,40149.0,1736.0,186143.0,3139.0,136.0,14552.0,0.043238934967247004,0.21568901328548482
Illinois,39658.0,1795.0,189632.0,3093.0,140.0,14790.0,0.045261990014625046,0.2091313702328721
Michigan,36641.0,3085.0,140130.0,3680.0,310.0,14073.0,0.08419530034660626,0.2614786269892243
Florida,30174.0,1012.0,318827.0,1465.0,49.0,15478.0,0.03353880824550938,0.0946406671956892
Louisiana,26140.0,1601.0,142056.0,5605.0,343.0,30460.0,0.061247130833970924,0.1840119389536521
Connecticut,23921.0,1764.0,74038.0,6679.0,493.0,20672.0,0.07374273650767109,0.3230908452416327
Texas,22806.0,593.0,242547.0,818.0,21.0,8698.0,0.026001929316846445,0.09402713700849732
Georgia,22147.0,892.0,107176.0,2151.0,87.0,10408.0,0.04027633539531313,0.20664141225647534
Maryland,16616.0,798.0,84716.0,2768.0,133.0,14111.0,0.0480259990370727,0.19613768355446431
Ohio,15169.0,690.0,107109.0,1303.0,59.0,9200.0,0.045487507416441426,0.14162208591248168
Indiana,13680.0,741.0,75553.0,2061.0,112.0,11383.0,0.05416666666666667,0.1810649477849986
Washington,12753.0,711.0,153376.0,1748.0,97.0,21027.0,0.05575158786167961,0.08314860212810349
Virginia,11594.0,410.0,69015.0,1378.0,49.0,8203.0,0.035363118854579954,0.16799246540607116
Colorado,11262.0,552.0,52324.0,2036.0,100.0,9460.0,0.049014384656366546,0.21523583823866677
Tennessee,8726.0,168.0,131298.0,1312.0,25.0,19741.0,0.01925280770112308,0.06645950433365322
North Carolina,8208.0,292.0,100584.0,808.0,29.0,9904.0,0.03557504873294347,0.0816034359341446
Rhode Island,6699.0,202.0,47257.0,6340.0,191.0,44725.0,0.030153754291685327,0.1417567767738113
Missouri,6625.0,262.0,64903.0,1088.0,43.0,10657.0,0.039547169811320754,0.10207540483490747
Arizona,6045.0,266.0,60714.0,870.0,38.0,8740.0,0.04400330851943755,0.09956517442435023
Alabama,5832.0,201.0,52641.0,1199.0,41.0,10821.0,0.03446502057613169,0.11078816891776372
Mississippi,5434.0,209.0,55389.0,1818.0,70.0,18532.0,0.038461538461538464,0.09810612215421835
Wisconsin,5356.0,262.0,59929.0,927.0,45.0,10371.0,0.04891710231516057,0.08937242403510821
South Carolina,4917.0,150.0,44463.0,992.0,30.0,8972.0,0.03050640634533252,0.11058633020713853
Iowa,4445.0,107.0,31973.0,1419.0,34.0,10207.0,0.024071991001124858,0.13902355112125855
Nevada,4398.0,197.0,44487.0,1505.0,67.0,15220.0,0.044793087767166895,0.0988603412232787
Utah,3782.0,39.0,84697.0,1242.0,13.0,27812.0,0.010312004230565839,0.044653293505082826
